Region,Name,ACGME Program Code,Program Director,Program Coordinator,PGY1,PGY2,PGY3,Institutional Setting,Participates in ERAS,Program has Osteopathic Recognition,# of Residents Who Were Graduates of a Joint MD-PhD program,Categorical Positions,Categorical Positions Filled,Advanced Positions Offered,Advanced Positions Filled,# of Applicants:,Interviewed:,Alpha Omega Alpha (AOA),Alpha Omega Alpha (AOA),Gold Humanism Honor Society (GHHS),Gold Humanism Honor Society (GHHS),Sigma Sigma Phi (SSP),Sigma Sigma Phi (SSP)
Middle Atlantic,UPMC Medical Education Program,4204121177,Marion Hughes,Trish Martino,9,9,10,University Hospital,Yes,No,–,–,# of Positions Filled:,10,10,"1,117",9.8,29%,11%,4%,5%,0%,5%
East South Central,USA Health Program,4200111008,Brett Martin,Shunda Fakaha,4,6,5,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,594,16.8,4%,11%,0%,5%,8%,5%
East South Central,Vanderbilt University Medical Center Program,4204721189,Erin Cooke,Justin Wolf,6,6,6,University Hospital,Yes,No,1,–,# of Positions Filled:,6,6,"1,132",8.7,30%,11%,13%,5%,7%,5%
South Atlantic,Virginia Commonwealth University Health System Program,4205121203,Josephina Vossen,Kim Christman,6,7,7,University Hospital,Yes,No,–,–,# of Positions Filled:,7,7,959,12.5,0%,11%,8%,5%,10%,5%
Pacific,Virginia Mason Franciscan Health Program,4205412206,Margaret Chapman,Julie Gibbons,3,3,3,Community Hospital,Yes,No,–,2,2,1,1,754,7.8,7%,11%,14%,5%,7%,5%
South Atlantic,Wake Forest University Baptist Medical Center Program,4203611150,Carol Geer,Melissa Chrismon,9,9,9,University Hospital,Yes,No,–,–,# of Positions Filled:,9,9,955,14.1,51%,11%,2%,5%,0%,5%
West North Central,Washington University/B-JH/SLCH Consortium Program,4202811111,Jennifer Gould,Melissa Hummel,17,16,14,University Hospital,Yes,No,7,–,# of Positions Filled:,18,18,889,26.4,35%,11%,7%,5%,0%,5%
South Atlantic,West Virginia University Program,4205521208,SoHyun Boo,Katie Swaney,6,5,6,University Hospital,Yes,No,–,–,# of Positions Filled:,6,6,758,10.6,0%,11%,0%,5%,3%,5%
Middle Atlantic,Westchester Medical Center Program,4203521136,Anna Rozenshtein,Jennifer Monks,5,5,5,University Hospital,Yes,No,–,–,# of Positions Filled:,5,5,630,15.9,8%,11%,8%,5%,0%,5%
New England,Yale-New Haven Medical Center Program,4200821043,Syed Ahmad Jamal Bokhari,Lisa Hribko,15,13,12,University Hospital,Yes,No,1,–,# of Positions Filled:,12,12,"1,015",19.9,30%,11%,4%,5%,1%,5%
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell at Lenox Hill Hospital Program,4203521218,Bidyut Pramanik,Keren Beauge,4,5,4,University Hospital,Yes,No,–,–,# of Positions Filled:,4,4,692,14.5,5%,11%,0%,5%,0%,5%
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell at Mather Hospital Program,4203500255,Joshua Kern,Kimberly Wilson,3,3,3,Affiliated Hospital,Yes,No,–,–,# of Positions Filled:,3,3,598,12.5,–,–,–,–,–,–
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell at Staten Island University Hospital Program,4203512254,David Sarkany,Genevieve Ebbro,4,4,4,Affiliated Hospital,Yes,No,1,–,# of Positions Filled:,4,4,620,17.7,0%,11%,5%,5%,0%,5%
Middle Atlantic,Zucker School of Medicine at Hofstra/Northwell Program,4203531124,John Pellerito,Theresa Eacobacci,10,10,10,University Hospital,Yes,No,–,–,# of Positions Filled:,11,11,674,29.7,16%,11%,4%,5%,6%,5%
